Gene Set Name,Gene Set Description,Gene Symbol,Gene Description
,,C12orf75,"Id: ENSG00000235162, Name: chromosome 12 open reading frame 75"
,,DNAH5,"Id: ENSG00000039139, Name: dynein axonemal heavy chain 5"
,,DYNLT2B,"Id: ENSG00000213123, Name: dynein light chain Tctex-type 2B"
,,RRAD,"Id: ENSG00000166592, Name: RRAD, Ras related glycolysis inhibitor and calcium channel regulator"
,,RHEX,"Id: ENSG00000263961, Name: regulator of hemoglobinization and erythroid cell expansion"
,,HSPB11,"Id: ENSG00000081870, Name: intraflagellar transport 25"
,,NUDC,"Id: ENSG00000090273, Name: nuclear distribution C, dynein complex regulator"
,,DNAH12,"Id: ENSG00000174844, Name: dynein axonemal heavy chain 12"
,,TAX1BP1,"Id: ENSG00000106052, Name: Tax1 binding protein 1"
,,WDR54,"Id: ENSG00000005448, Name: WD repeat domain 54"
,,SHROOM3,"Id: ENSG00000138771, Name: shroom family member 3"
,,SCGB2A1,"Id: ENSG00000124939, Name: secretoglobin family 2A member 1"
,,FAM216B,"Id: ENSG00000179813, Name: family with sequence similarity 216 member B"
,,CYSTM1,"Id: ENSG00000120306, Name: cysteine rich transmembrane module containing 1"
,,SOX17,"Id: ENSG00000164736, Name: SRY-box transcription factor 17"
,,RP11-467J12.4,"Id: ENSG00000277639, Name: CHD9 neighbor"
,,SPAG17,"Id: ENSG00000155761, Name: sperm associated antigen 17"
,,AHCYL1,"Id: ENSG00000168710, Name: adenosylhomocysteinase like 1"
,,ARL3,"Id: ENSG00000138175, Name: ADP ribosylation factor like GTPase 3"
,,C11orf97,"Id: ENSG00000257057, Name: chromosome 11 open reading frame 97"
,,FAM229B,"Id: ENSG00000203778, Name: family with sequence similarity 229 member B"
,,HINT1,"Id: ENSG00000169567, Name: histidine triad nucleotide binding protein 1"
,,ANKRD44-AS1,"Id: ENSG00000231621, Name: ANKRD44 antisense RNA 1"
,,FHAD1,"Id: ENSG00000142621, Name: forkhead associated phosphopeptide binding domain 1"
endothelial cell of uterus - marker genes,CellGuide's computational marker genes for 'endothelial cell of uterus' in uterus tissue,RAMP2,"Id: ENSG00000131477, Name: receptor activity modifying protein 2"
,,GNG11,"Id: ENSG00000127920, Name: G protein subunit gamma 11"
,,CLDN5,"Id: ENSG00000184113, Name: claudin 5"
,,EGFL7,"Id: ENSG00000172889, Name: EGF like domain multiple 7"
,,VWF,"Id: ENSG00000110799, Name: von Willebrand factor"
,,NPDC1,"Id: ENSG00000107281, Name: neural proliferation, differentiation and control 1"
,,FKBP1A,"Id: ENSG00000088832, Name: FKBP prolyl isomerase 1A"
,,PECAM1,"Id: ENSG00000261371, Name: platelet and endothelial cell adhesion molecule 1"
,,ENPP2,"Id: ENSG00000136960, Name: ectonucleotide pyrophosphatase/phosphodiesterase 2"
,,CRIP2,"Id: ENSG00000182809, Name: cysteine rich protein 2"
,,IFITM3,"Id: ENSG00000142089, Name: interferon induced transmembrane protein 3"
,,APP,"Id: ENSG00000142192, Name: amyloid beta precursor protein"
,,VAMP5,"Id: ENSG00000168899, Name: vesicle associated membrane protein 5"
,,A2M,"Id: ENSG00000175899, Name: alpha-2-macroglobulin"
,,CLEC14A,"Id: ENSG00000176435, Name: C-type lectin domain containing 14A"
,,ACKR1,"Id: ENSG00000213088, Name: atypical chemokine receptor 1 (Duffy blood group)"
,,AQP1,"Id: ENSG00000240583, Name: aquaporin 1 (Colton blood group)"
,,HES1,"Id: ENSG00000114315, Name: hes family bHLH transcription factor 1"
,,SOCS3,"Id: ENSG00000184557, Name: suppressor of cytokine signaling 3"
,,ID3,"Id: ENSG00000117318, Name: inhibitor of DNA binding 3"
,,LDB2,"Id: ENSG00000169744, Name: LIM domain binding 2"
,,ECSCR,"Id: ENSG00000249751, Name: endothelial cell surface expressed chemotaxis and apoptosis regulator"
,,HYAL2,"Id: ENSG00000068001, Name: hyaluronidase 2"
,,CAVIN2,"Id: ENSG00000168497, Name: caveolae associated protein 2"
,,SRP14,"Id: ENSG00000140319, Name: signal recognition particle 14"
,,SNHG7,"Id: ENSG00000233016, Name: small nucleolar RNA host gene 7"
,,ID1,"Id: ENSG00000125968, Name: inhibitor of DNA binding 1"
,,MGST2,"Id: ENSG00000085871, Name: microsomal glutathione S-transferase 2"
